fsa,LDU,latitude,longitude,distance_min
L5C,4R2,43.558594,-79.638901,0.5638129467681597
L6A,3N4,43.867668,-79.517433,1.5576252655738845
L6H,0N8,43.490822,-79.734161,1.2587138531008115
L6H,7A2,43.489002,-79.714043,0.42191158162913445
L6R,1S6,43.753017,-79.73703,0.41326353976953295
L6X,1R7,43.694187,-79.774117,0.8498725676387169
L7E,0H7,43.949642,-79.855255,8.581764405233184
L7E,5R4,43.865974,-79.720253,0.4908567998296846
L7K,0G9,43.938164,-80.011551,6.960320324784623
L7R,1X9,43.343246,-79.794868,0.2315157250251661
L8L,5N8,43.254799,-79.850746,0.4163871401840077
L8P,2H3,43.250576,-79.880074,0.6641515642735104
L9H,5C4,43.269154,-79.993782,2.962383135807983
L9T,1Z1,43.505791,-79.88456,0.4439393656681113
L9T,2N5,43.509472,-79.889481,0.21269851195202233
M1B,4A8,43.811165,-79.213219,0.8347864446090223
M1B,4C7,43.809189,-79.212746,0.7641745833699709
M1G,2Y9,43.773918,-79.211281,1.6030590707069472
M1J,1C5,43.749218,-79.253448,0.9221503727447508
M1J,3P5,43.743633,-79.224426,0.27270226893680766
M1L,0H1,43.692589,-79.276924,0.11321952055739526
M2H,1M1,43.79771,-79.364059,0.3892529360656746
M2J,0C3,43.769264,-79.340759,0.9654957880645135
M2K,2V7,43.772301,-79.369568,0.38076254895975137
M3A,3M7,43.745296,-79.313461,0.23210583912580016
M3C,1Y6,43.732121,-79.340179,0.4442083764005439
M3L,2L2,43.747196,-79.506378,0.7898476739490676
M4A,1B2,43.717529,-79.303383,0.7621498030727283
M4E,1N5,43.678627,-79.283623,0.2173191864721981
M4W,2W5,43.683777,-79.372673,0.37589029909521376
M5A,1A9,43.646538,-79.351944,0.8500682735698335
M5J,0A2,43.627651,-79.356827,2.1707403686443656
M5N,1G4,43.705029,-79.411034,0.10529322205759446
M5P,2Y9,43.688423,-79.419144,0.4792248599512818
M5R,1A3,43.670498,-79.390526,0.11699754098492099
M5R,1A8,43.669872,-79.393585,0.061980554319886916
M6E,4C6,43.69043,-79.452393,0.5265807952123494
M8Y,4A8,43.641556,-79.498795,1.0196891597170152
M9V,1H7,43.736816,-79.552078,0.6006007915274132
N1H,1P4,43.543118,-80.280464,0.29921051486369793
N2K,0G2,43.493469,-80.476059,2.0764143341931414
N2L,6A4,43.465508,-80.559639,0.7281189115022036
N3C,0A2,43.426254,-80.311569,0.5265184028251412
N5W,4W4,43.001202,-81.18544,0.24879789709489242
N5W,5C5,43.003525,-81.177231,0.07177444451036036
N5W,5G5,43.00399,-81.175598,0.06542458990514732
N5X,2Y2,43.037941,-81.2621,0.6125549707340595
N6A,3X3,43.001778,-81.248154,0.765530944855542
N6A,5B6,42.982906,-81.252953,0.11868282952847621
N6G,4A3,43.000309,-81.302032,0.3470228930470951
N6H,4P6,42.967163,-81.297485,1.2317090072890333
N6P,1B8,42.906769,-81.293655,0.4985694327513315
N7G,2X7,42.945515,-81.614967,0.19169500429041336
N8N,2X3,42.279617,-82.88121,3.1004762512548125
N8N,3B3,42.325111,-82.876549,1.4931480534239545
N8N,4N9,42.326561,-82.887276,1.647937453095057
